ln(415) = 5.94824, error = 0.0134554
ln(416) = 5.94824, error = 0.0138601
ln(417) = 5.95215, error = 0.0135981
ln(418) = 5.9541, error = 0.0136679
ln(419) = 5.95801, error = 0.0134043
ln(420) = 5.95996, error = 0.0134722
ln(421) = 5.96191, error = 0.0135391
ln(422) = 5.96387, error = 0.013605
ln(423) = 5.96777, error = 0.0133381
ln(424) = 5.96973, error = 0.0134021
ln(425) = 5.97363, error = 0.0131338
ln(426) = 5.97363, error = 0.0135272
ln(427) = 5.97559, error = 0.0135883
ln(428) = 5.97754, error = 0.0136484
ln(429) = 5.98096, error = 0.0134594
ln(430) = 5.98291, error = 0.0135177
ln(431) = 5.98682, error = 0.0132444
ln(432) = 5.98682, error = 0.0136315
ln(433) = 5.99072, error = 0.0133565
ln(434) = 5.99268, error = 0.0134111
ln(435) = 5.99658, error = 0.0131348
ln(436) = 5.99854, error = 0.0131878
ln(437) = 6.00049, error = 0.0132397
ln(438) = 6.00244, error = 0.0132909
ln(439) = 6.00439, error = 0.013341
ln(440) = 6.00635, error = 0.0133904
ln(441) = 6.0083, error = 0.0134388
ln(442) = 6.0083, error = 0.0138158
ln(443) = 6.0083, error = 0.0141919
ln(444) = 6.0083, error = 0.0145672
ln(445) = 6.0083, error = 0.0149416
ln(446) = 6.0083, error = 0.0153152
ln(447) = 6.0083, error = 0.0156879
ln(448) = 6.0083, error = 0.0160598
ln(449) = 6.0083, error = 0.0164309
ln(450) = 6.0083, error = 0.0168012
ln(451) = 6.0083, error = 0.0171707
ln(452) = 6.0083, error = 0.0175393
ln(453) = 6.0083, error = 0.0179071
ln(454) = 6.0083, error = 0.0182741
ln(455) = 6.0083, error = 0.0186403
ln(456) = 6.0083, error = 0.0190057
ln(457) = 6.0083, error = 0.0193703
ln(458) = 6.0083, error = 0.0197341
ln(459) = 6.0083, error = 0.0200971
ln(460) = 6.0083, error = 0.0204593
ln(461) = 6.0083, error = 0.0208207
ln(462) = 6.0083, error = 0.0211814
ln(463) = 6.0083, error = 0.0215413
ln(464) = 6.0083, error = 0.0219003
ln(465) = 6.0083, error = 0.0222586
ln(466) = 6.0083, error = 0.0226162
ln(467) = 6.0083, error = 0.022973
ln(468) = 6.0083, error = 0.023329
ln(469) = 6.0083, error = 0.0236842
ln(470) = 6.0083, error = 0.0240388
ln(471) = 6.0083, error = 0.0243925
ln(472) = 6.0083, error = 0.0247455
ln(473) = 6.0083, error = 0.0250977
ln(474) = 6.0083, error = 0.0254492
ln(475) = 6.0083, error = 0.0258
ln(476) = 6.0083, error = 0.02615
ln(477) = 6.0083, error = 0.0264993
ln(478) = 6.0083, error = 0.0268478
ln(479) = 6.0083, error = 0.0271957
ln(480) = 6.0083, error = 0.0275428
ln(481) = 6.0083, error = 0.0278891
ln(482) = 6.0083, error = 0.0282348
ln(483) = 6.0083, error = 0.0285798
ln(484) = 6.0083, error = 0.028924
ln(485) = 6.0083, error = 0.0292675
ln(486) = 6.0083, error = 0.0296104
ln(487) = 6.0083, error = 0.0299524
ln(488) = 6.0083, error = 0.0302938
ln(489) = 6.0083, error = 0.0306345
ln(490) = 6.0083, error = 0.0309746
ln(491) = 6.0083, error = 0.0313139
ln(492) = 6.0083, error = 0.0316525
ln(493) = 6.0083, error = 0.0319905
ln(494) = 6.0083, error = 0.0323277
ln(495) = 6.0083, error = 0.0326643
ln(496) = 6.0083, error = 0.0330002
ln(497) = 6.0083, error = 0.0333354
ln(498) = 6.0083, error = 0.0336699
ln(499) = 6.0083, error = 0.0340038
ln(500) = 6.0083, error = 0.0343371
ln(501) = 6.0083, error = 0.0346696
ln(502) = 6.0083, error = 0.0350015
ln(503) = 6.0083, error = 0.0353327
ln(504) = 6.0083, error = 0.0356632
ln(505) = 6.0083, error = 0.0359931
ln(506) = 6.0083, error = 0.0363224
ln(507) = 6.0083, error = 0.036651
ln(508) = 6.0083, error = 0.036979
ln(509) = 6.0083, error = 0.0373063
