sin(257) = -0.974182, error = 0.000192879

cos(258) = -0.208435, error = 0.00251726
sin(258) = -0.977844, error = 0.00031014

cos(259) = -0.191162, error = 0.00185062
sin(259) = -0.981567, error = 6.09199e-05

cos(260) = -0.174072, error = 0.00244223
sin(260) = -0.98468, error = 0.000129545

cos(261) = -0.156616, error = 0.0011618
sin(261) = -0.987671, error = 1.76596e-05

cos(262) = -0.139404, error = 0.00166121
sin(262) = -0.990112, error = 0.000157295

cos(263) = -0.121765, error = 0.000855069
sin(263) = -0.992554, error = 7.61607e-06

cos(264) = -0.104431, error = 0.000930951
sin(264) = -0.994446, error = 7.65137e-05

cos(265) = -0.0869751, error = 0.00207267
sin(265) = -0.996033, error = 0.000162602

cos(266) = -0.0704956, error = 0.0105959
sin(266) = -0.997559, error = 5.46983e-06

cos(267) = -0.0529175, error = 0.0111114
sin(267) = -0.998596, error = 3.33891e-05

cos(268) = -0.0354614, error = 0.0161014
sin(268) = -0.999268, error = 0.000123324

cos(269) = -0.0180054, error = 0.0316841
sin(269) = -0.999634, error = 0.000213939

cos(270) = -0.000427246, error = 2.32582e+12
sin(270) = -0.999939, error = 6.10352e-05

cos(271) = 0.0180054, error = 0.0316841
sin(271) = -0.999634, error = 0.000213939

cos(272) = 0.0354614, error = 0.0161014
sin(272) = -0.999268, error = 0.000123324

cos(273) = 0.0529175, error = 0.0111114
sin(273) = -0.998596, error = 3.33891e-05

cos(274) = 0.0704956, error = 0.0105959
sin(274) = -0.997559, error = 5.46983e-06

cos(275) = 0.0869751, error = 0.00207267
sin(275) = -0.996033, error = 0.000162602

cos(276) = 0.104431, error = 0.000930951
sin(276) = -0.994446, error = 7.65137e-05

cos(277) = 0.121765, error = 0.000855069
sin(277) = -0.992554, error = 7.61607e-06

cos(278) = 0.139404, error = 0.00166121
sin(278) = -0.990112, error = 0.000157295

cos(279) = 0.156616, error = 0.0011618
sin(279) = -0.987671, error = 1.76596e-05

cos(280) = 0.174072, error = 0.00244223
sin(280) = -0.98468, error = 0.000129545

cos(281) = 0.191162, error = 0.00185062
sin(281) = -0.981567, error = 6.09199e-05

cos(282) = 0.208435, error = 0.00251726
sin(282) = -0.977844, error = 0.00031014

cos(283) = 0.225403, error = 0.00200834
sin(283) = -0.974182, error = 0.000192879

cos(284) = 0.242615, error = 0.00286394
sin(284) = -0.970093, error = 0.000209166

cos(285) = 0.25946, error = 0.0024782
sin(285) = -0.965759, error = 0.000172424

cos(286) = 0.27655, error = 0.0033121
sin(286) = -0.960876, error = 0.000400756

cos(287) = 0.291443, error = 0.00317689
sin(287) = -0.956482, error = 0.000185273

cos(288) = 0.308105, error = 0.00294976
sin(288) = -0.951294, error = 0.000249648

cos(289) = 0.32605, error = 0.00147941
sin(289) = -0.945251, error = 0.000282502

cos(290) = 0.342651, error = 0.00184558
sin(290) = -0.939331, error = 0.000384771

cos(291) = 0.359009, error = 0.00178822
sin(291) = -0.933289, error = 0.000312616

cos(292) = 0.375427, error = 0.00219071
sin(292) = -0.92688, error = 0.000327844

cos(293) = 0.391602, error = 0.00222771
sin(293) = -0.920166, error = 0.0003681

cos(294) = 0.405884, error = 0.00209682
sin(294) = -0.91394, error = 0.000432351

cos(295) = 0.421936, error = 0.00161429
sin(295) = -0.906677, error = 0.000407653

cos(296) = 0.437805, error = 0.00129108
sin(296) = -0.899109, error = 0.000350292

cos(297) = 0.45343, error = 0.00123422
sin(297) = -0.891296, error = 0.00032532

cos(298) = 0.468994, error = 0.00101694
sin(298) = -0.883301, error = 0.000400011

cos(299) = 0.484558, error = 0.000518791
sin(299) = -0.874634, error = 1.61006e-05

cos(300) = 0.499695, error = 0.000610352
sin(300) = -0.866211, error = 0.000214236

cos(301) = 0.514893, error = 0.000282497
sin(301) = -0.8573, error = 0.000154584

cos(302) = 0.529785, error = 0.000253072
sin(302) = -0.848145, error = 0.000113714

cos(303) = 0.543945, error = 0.00127373
sin(303) = -0.838989, error = 0.000379994

cos(304) = 0.558472, error = 0.00128976
sin(304) = -0.829407, error = 0.000445294

cos(305) = 0.572937, error = 0.0011148
sin(305) = -0.819519, error = 0.000448023

cos(306) = 0.587097, error = 0.00117064
sin(306) = -0.809448, error = 0.000533052

cos(307) = 0.60144, error = 0.00062244
sin(307) = -0.798828, error = 0.00024118

cos(308) = 0.615295, error = 0.000594588
sin(308) = -0.788269, error = 0.000327774

cos(309) = 0.628967, error = 0.000561091
sin(309) = -0.777344, error = 0.000254506

cos(310) = 0.642517, error = 0.000420854
sin(310) = -0.766296, error = 0.000328889

cos(311) = 0.655884, error = 0.00026711
sin(311) = -0.754883, error = 0.000229535

cos(312) = 0.669067, error = 9.44861e-05
sin(312) = -0.743286, error = 0.000190148

cos(313) = 0.682007, error = 1.2428e-05
sin(313) = -0.731384, error = 4.1807e-05

cos(314) = 0.694763, error = 0.000150884
sin(314) = -0.719238, error = 0.000141128

cos(315) = 0.707397, error = 0.000411083
sin(315) = -0.706848, error = 0.000365767

cos(316) = 0.719238, error = 0.000141128
sin(316) = -0.694763, error = 0.000150884

cos(317) = 0.731384, error = 4.1807e-05
sin(317) = -0.682007, error = 1.2428e-05

cos(318) = 0.743286, error = 0.000190148
sin(318) = -0.669067, error = 9.44861e-05

cos(319) = 0.754883, error = 0.000229535
sin(319) = -0.655884, error = 0.00026711

cos(320) = 0.766296, error = 0.000328889
sin(320) = -0.642517, error = 0.000420854

