exp(0) = 1, error = 0
exp(0.363999) = 1.43359, error = 0.00382177
exp(0.364999) = 1.4375, error = 0.00209551
exp(0.365999) = 1.4375, error = 0.00309811
exp(0.366999) = 1.43945, error = 0.00273929
exp(0.367999) = 1.43945, error = 0.00374252
exp(0.368999) = 1.44141, error = 0.0033853
exp(0.369999) = 1.44141, error = 0.00438916
exp(0.370999) = 1.44336, error = 0.00403361
exp(0.371999) = 1.44922, error = 0.000974588
exp(0.372999) = 1.44922, error = 0.00197607
exp(0.373999) = 1.45117, error = 0.00162864
exp(0.374999) = 1.45117, error = 0.00263075
exp(0.375999) = 1.45312, error = 0.00228488
exp(0.376999) = 1.45312, error = 0.00328769
exp(0.377999) = 1.45508, error = 0.00294337
exp(0.378999) = 1.45508, error = 0.0039468
exp(0.379999) = 1.45898, error = 0.00226067
exp(0.380999) = 1.45898, error = 0.00326338
exp(0.381999) = 1.46094, error = 0.00292455
exp(0.382999) = 1.46094, error = 0.00392795
exp(0.383999) = 1.46289, error = 0.00359064
exp(0.384999) = 1.46289, error = 0.00459475
exp(0.385999) = 1.46484, error = 0.00425903
exp(0.386999) = 1.46484, error = 0.00526375
exp(0.387999) = 1.4707, error = 0.00226049
exp(0.388999) = 1.4707, error = 0.00326323
exp(0.389999) = 1.47266, error = 0.00293511
exp(0.390999) = 1.47266, error = 0.00393847
exp(0.391998) = 1.47461, error = 0.00361191
exp(0.392998) = 1.47461, error = 0.00461596
exp(0.393998) = 1.47656, error = 0.00429087
exp(0.394998) = 1.47656, error = 0.00529569
exp(0.395998) = 1.48047, error = 0.00364633
exp(0.396998) = 1.48242, error = 0.00332678
exp(0.397998) = 1.48242, error = 0.0043306
exp(0.398998) = 1.48438, error = 0.00401266
exp(0.399998) = 1.48438, error = 0.00501717
exp(0.400998) = 1.48633, error = 0.00470067
exp(0.401998) = 1.49414, error = 0.000447272
exp(0.402998) = 1.49414, error = 0.00144817
exp(0.403998) = 1.49609, error = 0.00114142
exp(0.404998) = 1.49609, error = 0.00214308
exp(0.405998) = 1.5, error = 0.000533342
exp(0.406998) = 1.5, error = 0.00153438
exp(0.407998) = 1.50195, error = 0.00123269
exp(0.408998) = 1.50195, error = 0.00223441
exp(0.409998) = 1.50586, error = 0.000634734
exp(0.410998) = 1.50586, error = 0.00163584
exp(0.411998) = 1.50781, error = 0.00133922
exp(0.412998) = 1.50781, error = 0.00234108
exp(0.413998) = 1.51172, error = 0.000751269
exp(0.414998) = 1.51172, error = 0.00175251
exp(0.415998) = 1.51367, error = 0.00146083
exp(0.416998) = 1.51367, error = 0.00246283
exp(0.417998) = 1.51758, error = 0.00088285
exp(0.418998) = 1.51758, error = 0.00188423
exp(0.419998) = 1.51953, error = 0.0015975
exp(0.420998) = 1.51953, error = 0.00259956
exp(0.421998) = 1.52344, error = 0.00102938
exp(0.422998) = 1.52344, error = 0.00203083
exp(0.423998) = 1.52539, error = 0.00174908
exp(0.424998) = 1.52539, error = 0.00275135
exp(0.425998) = 1.5293, error = 0.00119069
exp(0.426998) = 1.5293, error = 0.00219235
exp(0.427998) = 1.53125, error = 0.00191545
exp(0.428998) = 1.53516, error = 0.0003659
exp(0.429998) = 1.53516, error = 0.00136677
exp(0.430998) = 1.53711, error = 0.00109499
exp(0.431998) = 1.53711, error = 0.00209652
exp(0.432998) = 1.54102, error = 0.000556433
exp(0.433998) = 1.54102, error = 0.00155744
exp(0.434998) = 1.54297, error = 0.00129047
exp(0.435998) = 1.54297, error = 0.00229222
exp(0.436998) = 1.54688, error = 0.000761475
